Term,CRN,Subj,Num,Section,Title,Sched Type,Instructor,Units,Camp,Bldg,Room,Begin,End,Days,Start Date,End Date,Cap,Enrolled,Dept Desc,Faculty,Status
202301,23696,ED-P,451,A01,FINAL PRACTICUM (ELEM EDUC),PRA,"Bell, Dana",3,OFF,,,,,,30-Jan-23,14-Apr-23,66,60,Curriculum and Instruction,ED,A
202301,23880,ED-P,451,A02,FINAL PRACTICUM (ELEM EDUC),PRA,"Farish, Maureen",3,CRA,,,800,1550,MTWRF,06-Feb-23,21-Apr-23,25,18,Curriculum and Instruction,ED,A
202301,23747,ED-P,781,A01,6 WK PRACTCM (SEC POST DEGREE),PRA,"Machin, Amy",1.5,OFF,,,,,,17-Apr-23,26-May-23,66,54,Curriculum and Instruction,ED,A
202301,24332,ED-P,782,A01,FINAL PRACTICUM (SEC PDP),PRA,"Machin, Amy",3,OFF,,,,,,03-Jan-23,24-Mar-23,1,1,Curriculum and Instruction,ED,A
202301,21122,EDCI,208,A01,STUDIO PIANO CLASS I,LEC,"Laing, Rosemary",1.5,M,MAC,A183,1430,1550,MR,09-Jan-23,06-Apr-23,16,15,Curriculum and Instruction,ED,A
202301,21123,EDCI,208,A05,STUDIO PIANO CLASS I,LEC,"Laing, Rosemary",1.5,M,MAC,A183,1630,1750,MW,09-Jan-23,06-Apr-23,16,16,Curriculum and Instruction,ED,A
202301,23865,EDCI,250,A03,ELEM FIELD EXPERNCE SEMINAR I,LEC,"Farish, Maureen; Sharpe, Doreen",0.75,CRA,,,830,1120,M,09-Jan-23,06-Apr-23,25,17,Curriculum and Instruction,ED,A
202301,21124,EDCI,300,A01,MATHEMATICAL PROCESSES A,LEC,"Pelton, Tim",1.5,M,MAC,D110,830,950,TF,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,21125,EDCI,302,A01,LITERACY AND LANGUAGE,LEC,"Streelasky, Jodi",1.5,M,COR,A225,1000,1120,TF,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,23866,EDCI,303,A02,HISTORY+PHIL FND:CDN EDUC,LEC,"Balfour, Shelley",1.5,CRA,,,1230,1520,R,09-Jan-23,06-Apr-23,25,17,Curriculum and Instruction,ED,A
202301,21126,EDCI,303,A01,HISTORY+PHIL FND:CDN EDUC,LEC,"Lemon, Meredith",1.5,M,CLE,A225,1130,1250,MR,09-Jan-23,06-Apr-23,33,33,Curriculum and Instruction,ED,A
202301,21127,EDCI,305A,A01,DRAMA ED: MEDIUM LEARNG I,LEC,"Prendergast, Monica",1.5,M,MAC,D101,1300,1420,MR,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,23867,EDCI,305A,A02,DRAMA ED: MEDIUM LEARNG I,LEC,"Duchene, Phil",1.5,CRA,,,,,,09-Jan-23,06-Apr-23,50,15,Curriculum and Instruction,ED,A
202301,23869,EDCI,305B,A01,DRAMA ED: MEDIUM LEARNG II,LEC,"Duchene, Phil",1.5,CRA,,,,,,09-Jan-23,06-Apr-23,50,13,Curriculum and Instruction,ED,A
202301,23871,EDCI,306A,A02,MUSIC: ELEMENTARY CLASS I,LEC,"Lutz, Kim",1.5,CRA,,,1600,1850,T,09-Jan-23,06-Apr-23,25,17,Curriculum and Instruction,ED,A
202301,21128,EDCI,306A,A01,MUSIC: ELEMENTARY CLASS I,LEC,"Vazquez Cordoba, Hector",1.5,M,MAC,A166,1130,1250,MR,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,21129,EDCI,307A,A01,ART: ELEM OR MIDDLE CLASSRM I,LEC,"Schmalz, Kathleen",1.5,M,MAC,A193,1230,1520,T,09-Jan-23,06-Apr-23,33,32,Curriculum and Instruction,ED,A
202301,21130,EDCI,307A,A02,ART: ELEM OR MIDDLE CLASSRM I,LEC,"Tandon, Shruti",1.5,M,MAC,A193,1030,1320,F,09-Jan-23,06-Apr-23,33,31,Curriculum and Instruction,ED,A
202301,21131,EDCI,308,A01,STUDIO PIANO CLASS II,LEC,"Laing, Rosemary",1.5,M,MAC,A183,1130,1250,MR,09-Jan-23,06-Apr-23,16,14,Curriculum and Instruction,ED,A
202301,21132,EDCI,308,A02,STUDIO PIANO CLASS II,LEC,"Laing, Rosemary",1.5,M,MAC,A183,1300,1420,MR,09-Jan-23,06-Apr-23,16,12,Curriculum and Instruction,ED,A
202301,21133,EDCI,310,A05,LEARNING TO LISTEN TO MUSIC,LEC,"O'Leary, Gerard",1.5,ONL,,,,,,09-Jan-23,06-Apr-23,30,19,Curriculum and Instruction,ED,A
202301,21134,EDCI,311,A05,STUDIO GUITAR CLASS: I,LEC,"O'Leary, Gerard",1.5,M,MAC,A166,1630,1750,MW,09-Jan-23,06-Apr-23,20,18,Curriculum and Instruction,ED,A
202301,21135,EDCI,312,A05,STUDIO GUITAR CLASS: II,LEC,"O'Leary, Gerard",1.5,M,MAC,A166,1800,1920,MW,09-Jan-23,06-Apr-23,20,13,Curriculum and Instruction,ED,A
202301,21136,EDCI,330,A01,ELEM FILED EXPERIENCE SEM II,LEC,"Mulholland, Rick",1.5,M,MAC,D283,830,950,TF,09-Jan-23,06-Apr-23,33,33,Curriculum and Instruction,ED,A
202301,21137,EDCI,330,A02,ELEM FILED EXPERIENCE SEM II,LEC,"Mulholland, Rick",1.5,M,MAC,D283,1000,1120,TF,09-Jan-23,06-Apr-23,31,34,Curriculum and Instruction,ED,A
