Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
SENG 499,1.4040643604689231,Summer,2020,4,Engineering & Computer Science,98.0,91.0
CSC 115,1.7240071830572798,Summer,2023,1,Computer Science,169.0,132.0
CSC 225,1.3816453986983719,Summer,2023,2,Computer Science,163.0,128.0
CSC 226,1.7240071830572798,Summer,2023,2,Computer Science,161.0,126.0
CSC 230,1.7240071830572798,Summer,2023,2,Computer Science,159.0,125.0
CSC 320,1.7240071830572798,Summer,2023,3,Computer Science,153.0,120.0
CSC 360,1.974365966965347,Summer,2023,3,Computer Science,149.0,118.0
CSC 370,1.7308329888157203,Summer,2023,3,Computer Science,144.0,115.0
ECE 260,1.71403712091437,Summer,2023,2,Electrical & Computer Engg,140.0,116.0
ECE 310,1.7214958597388421,Summer,2023,3,Electrical & Computer Engg,135.0,112.0
SENG 265,1.684129061737789,Summer,2023,2,Engineering & Computer Science,127.0,110.0
SENG 275,1.3776586902754577,Summer,2023,2,Engineering & Computer Science,124.0,109.0
SENG 310,1.684129061737789,Summer,2023,3,Engineering & Computer Science,119.0,104.0
SENG 426,1.4129177893117206,Summer,2023,4,Engineering & Computer Science,102.0,93.0
SENG 440,1.4129177893117206,Summer,2023,4,Engineering & Computer Science,99.0,92.0
SENG 499,1.4040643604689231,Summer,2023,4,Engineering & Computer Science,97.0,90.0
CSC 111,1.3816453986983719,Spring,2019,1,Computer Science,173.0,136.0
CSC 115,1.3816453986983719,Spring,2019,1,Computer Science,171.0,135.0
CSC 225,1.3816453986983719,Spring,2019,2,Computer Science,166.0,130.0
CSC 226,1.3816453986983719,Spring,2019,2,Computer Science,163.0,129.0
CSC 230,1.7240071830572798,Spring,2019,2,Computer Science,161.0,128.0
CSC 320,1.3816453986983719,Spring,2019,3,Computer Science,155.0,123.0
CSC 360,1.7240071830572798,Spring,2019,3,Computer Science,151.0,120.0
CSC 361,1.974365966965347,Spring,2019,3,Computer Science,148.0,119.0
CSC 370,1.7308329888157203,Spring,2019,3,Computer Science,146.0,118.0
CSC 460,1.974365966965347,Spring,2019,4,Computer Science,141.0,113.0
ECE 310,1.7214958597388421,Spring,2019,3,Electrical & Computer Engg,137.0,114.0
ECE 360,1.71403712091437,Spring,2019,3,Electrical & Computer Engg,132.0,112.0
ECE 455,1.7214958597388421,Spring,2019,4,Electrical & Computer Engg,127.0,107.0
ECE 458,1.71403712091437,Spring,2019,4,Electrical & Computer Engg,125.0,106.0
SENG 265,1.684129061737789,Spring,2019,2,Engineering & Computer Science,129.0,112.0
SENG 275,1.3776586902754577,Spring,2019,2,Engineering & Computer Science,127.0,111.0
SENG 310,1.684129061737789,Spring,2019,3,Engineering & Computer Science,121.0,107.0
SENG 321,1.3776586902754577,Spring,2019,3,Engineering & Computer Science,119.0,105.0
SENG 371,2.2214568185871673,Spring,2019,3,Engineering & Computer Science,112.0,102.0
SENG 401,2.2214568185871673,Spring,2019,4,Engineering & Computer Science,106.0,97.0
SENG 275,1.3776586902754577,Spring,2020,2,Engineering & Computer Science,126.0,111.0
CSC 111,1.3816453986983719,Spring,2022,1,Computer Science,173.0,135.0
CSC 115,1.7240071830572798,Spring,2022,1,Computer Science,170.0,134.0
CSC 225,1.3816453986983719,Spring,2022,2,Computer Science,165.0,129.0
CSC 226,1.7240071830572798,Spring,2022,2,Computer Science,163.0,128.0
CSC 230,1.7240071830572798,Spring,2022,2,Computer Science,160.0,127.0
CSC 320,1.7240071830572798,Spring,2022,3,Computer Science,155.0,122.0
CSC 360,1.974365966965347,Spring,2022,3,Computer Science,150.0,120.0
CSC 361,1.974365966965347,Spring,2022,3,Computer Science,148.0,118.0
CSC 370,1.7308329888157203,Spring,2022,3,Computer Science,145.0,117.0
CSC 460,1.974365966965347,Spring,2022,4,Computer Science,140.0,113.0
ECE 310,1.7214958597388421,Spring,2022,3,Electrical & Computer Engg,137.0,113.0
ECE 360,1.999486447111325,Spring,2022,3,Electrical & Computer Engg,132.0,111.0
ECE 455,1.71403712091437,Spring,2022,4,Electrical & Computer Engg,126.0,106.0
ECE 458,1.71403712091437,Spring,2022,4,Electrical & Computer Engg,124.0,105.0
SENG 265,1.684129061737789,Spring,2022,2,Engineering & Computer Science,128.0,112.0
SENG 275,1.3776586902754577,Spring,2022,2,Engineering & Computer Science,126.0,110.0
SENG 310,1.684129061737789,Spring,2022,3,Engineering & Computer Science,121.0,106.0
SENG 321,1.3776586902754577,Spring,2022,3,Engineering & Computer Science,118.0,105.0
SENG 371,1.4129177893117206,Spring,2022,3,Engineering & Computer Science,111.0,101.0
SENG 401,2.2214568185871673,Spring,2022,4,Engineering & Computer Science,106.0,96.0
CSC 460,1.7308329888157203,Spring,2023,4,Computer Science,140.0,112.0
